Hashtag,Title,Publication Date,Link,processed_timestamp,production_url,data_source
#bangladeshhindus,"#Shorts | ""Nothing can be above the nation"" | UP CM Yogi | Bangladesh Hindus | Sanatan Dharma",2024-09-24,https://www.youtube.com/watch?v=v-0yfdaVmT0,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Hindus Under Attack In Bangladesh: Hema Malini Stands Up, Gets Emotional Over ISKCON Monk's Arrest",2024-12-23,https://www.youtube.com/watch?v=JgjAHnO9PU4,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Hindus continue to suffer in Bangladesh under Yunus’ regime, demand Sheikh Hasina’s return to power",2025-05-31,https://www.youtube.com/watch?v=-HYhoNMceYQ,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,PM Narendra Modi reacts to killings of Hindus in Bangladesh#hindus #Bangladesh #IndependenceDay2024,2024-08-25,https://www.youtube.com/watch?v=NlkEmL3wRmE,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh: The Genocide Of Hindus You Haven't Heard About,2024-08-25,https://www.youtube.com/watch?v=ro4w-pPt5X0,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Bangladesh to Drop ""Secularism"" from Constitution: Hindus on Edge | Vantage with Palki Sharma",2024-11-23,https://www.youtube.com/watch?v=h775iceoutw,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,US Expresses Concern Over Attacks On Hindus In Bangladesh | Bangladesh News India Today,2024-12-23,https://www.youtube.com/watch?v=H6JL4GCU3Qc,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Hyderabad: Bajrang Dal holds protest rally against Hindu atrocities in Bangladesh,2024-08-25,https://www.youtube.com/watch?v=licca3-d_w4,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Hindus Under Attack in Bangladesh: Dhaka Holds Massive Rally for Minority Rights | GRAVITAS,2024-11-23,https://www.youtube.com/watch?v=rIVludl6CC0,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Bangladesh Hindus Protest Amid Growing Violence, Demand Safety",2024-08-25,https://www.youtube.com/watch?v=21TRJlrkAk0,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh unrest: What's future of Hindus in Bangladesh? | WION Dispatch,2024-08-25,https://www.youtube.com/watch?v=pCRAknlmF1o,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,West Bengal CM Mamata Banerjee Condemns Attack on Bangladesh Hindus | India Today,2024-12-23,https://www.youtube.com/watch?v=Mqy0DUjuoow,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Hindus in Bangladesh Protest Against Atrocities | Vantage with Palki Sharma,2024-11-23,https://www.youtube.com/watch?v=5rstcweGGOo,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Bangladesh Hindu Hounding: After Bob Blackman More UK MPs React To Minority Targeting, Send Message",2024-12-23,https://www.youtube.com/watch?v=Rcq9QS99q3E,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Hindus In Bangladesh Under Attack | Three Hindu Temples In Bangladesh's Chattogram Vandalised,2024-12-23,https://www.youtube.com/watch?v=E7dUT9BzneY,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,No Durga Puja Celebration: Islamists Warn Hindus In Bangladesh | English News | News18,2024-10-24,https://www.youtube.com/watch?v=zrmyRye9lyE,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,The World Must Acknowledge the Atrocities Suffered by Hindus in Bangladesh!,2024-12-23,https://www.youtube.com/watch?v=fzijZ75hvCY,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladeshi Hindus | Can Muhammad Yunus Safeguard Bangladesh's Hindus?,2024-08-25,https://www.youtube.com/watch?v=7mT0w-1YmKA,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh Violence | Bangladesh Hindus | Chinmoy Krishna | The Right Stand With Anand Narasimhan,2024-12-23,https://www.youtube.com/watch?v=hCRK6p-VkAQ,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,LIVE: Muhammad Yunus Visits Temple Amid Attacks on Bangladesh's Hindus | Vantage with Palki Sharma,2024-08-25,https://www.youtube.com/watch?v=d0TaN1oaAGE,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Should India Send The Army Into Bangladesh? | Bangladeshi Hindus,2024-12-23,https://www.youtube.com/watch?v=cIAJuzDFu_A,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
